kanwil,nama_upt
Kalimantan Timur,LAPAS KELAS IIA BALIKPAPAN
Kalimantan Timur,LAPAS KELAS IIA BONTANG
Kalimantan Timur,LAPAS KELAS IIA SAMARINDA
Kalimantan Timur,LAPAS KELAS IIA TARAKAN
Kalimantan Timur,LAPAS KELAS IIA TENGGARONG
Kalimantan Timur,LAPAS KELAS IIB NUNUKAN
Kalimantan Timur,LAPAS NARKOTIKA KELAS IIA SAMARINDA
Kalimantan Timur,LAPAS PEREMPUAN KELAS IIA TENGGARONG
Kalimantan Timur,LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II TENGGARONG
Kalimantan Timur,RUTAN KELAS I SAMARINDA
Kalimantan Timur,RUTAN KELAS IIA BALIKPAPAN
Kalimantan Timur,RUTAN KELAS IIB TANAH GROGOT
Kalimantan Timur,RUTAN KELAS IIB TANJUNG REDEP
Kepulauan Bangka Belitung,BAPAS KELAS I PANGKAL PINANG
Kepulauan Bangka Belitung,BAPAS KELAS II TANJUNG PANDAN
Kepulauan Bangka Belitung,LAPAS KELAS IIA PANGKAL PINANG
Kepulauan Bangka Belitung,LAPAS KELAS IIB SUNGAI LIAT
Kepulauan Bangka Belitung,LAPAS KELAS IIB TANJUNG PANDAN
Kepulauan Bangka Belitung,LAPAS NARKOTIKA KELAS IIA PANGKAL PINANG
Kepulauan Bangka Belitung,LAPAS PEREMPUAN KELAS III PANGKAL PINANG
Kepulauan Bangka Belitung,LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II PANGKAL PINANG
Kepulauan Bangka Belitung,RUTAN KELAS IIB MUNTOK
Kepulauan Riau,BAPAS KELAS I TANJUNG PINANG
Kepulauan Riau,BAPAS KELAS II BATAM
Kepulauan Riau,LAPAS KELAS IIA BATAM
Kepulauan Riau,LAPAS KELAS IIA NARKOTIKA TANJUNG PINANG
Kepulauan Riau,LAPAS KELAS IIA TANJUNG PINANG
Kepulauan Riau,LAPAS KELAS III DABO SINGKEP
Kepulauan Riau,LAPAS PEREMPUAN KELAS IIB BATAM
Kepulauan Riau,LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II BATAM
Kepulauan Riau,RUTAN KELAS I TANJUNG PINANG
Kepulauan Riau,RUTAN KELAS IIA BATAM
Kepulauan Riau,RUTAN KELAS IIB TANJUNG BALAI KARIMUN
Lampung,BAPAS KELAS I BANDAR LAMPUNG
Lampung,BAPAS KELAS II PRINGSEWU
Lampung,LAPAS KELAS I BANDAR LAMPUNG
Lampung,LAPAS KELAS IIA KALIANDA
